rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
68,352820,하이브,KOSPI,14325028436000,336500.0,25.0,0.0,0.0,0.0,9.0,34.0,319500.0,5.052005943536404,37.81512605042017,46.889158429890564,-,326425.0,308540.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
69,126340,비나텍,KOSDAQ,579772258800,86100.0,24.0,0.0,0.0,0.0,9.0,33.0,80400.0,6.620209059233449,71.42857142857143,35.932829452071545,-,78545.95,67704.18,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
70,001040,CJ,KOSPI,5461934025600,187200.0,21.0,5.0,0.0,0.0,7.0,33.0,170300.0,9.027777777777777,9.243697478991596,39.03505394251109,-,176295.0,176996.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
71,036930,주성엔지니어링,KOSDAQ GLOBAL,1510222855950,31950.0,23.0,0.0,0.0,0.0,10.0,33.0,30500.0,4.538341158059469,89.91596638655462,58.55968474627826,-,30245.0,29391.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
72,062040,산일전기,KOSPI,4368886200000,143500.0,21.0,5.0,0.0,0.0,7.0,33.0,131800.0,8.153310104529616,0.0,33.0925662604309,-,137125.0,141638.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
73,004020,현대제철,KOSPI,4116802467250,30850.0,19.0,5.0,0.0,0.0,9.0,33.0,28700.0,6.9692058346839545,0.0,20.70441111187754,-,30600.0,30768.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
74,017800,현대엘리베이터,KOSPI,3475313026500,88900.0,23.0,0.0,0.0,0.0,10.0,33.0,85700.0,3.59955005624297,89.91596638655462,28.283187635649302,-,88335.0,85620.0,2,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
75,267260,HD현대일렉트릭,KOSPI,32658704310000,906000.0,23.0,5.0,0.0,0.0,5.0,33.0,790000.0,12.803532008830022,8.403361344537815,29.889296861680243,-,832900.0,825160.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
76,220100,퓨쳐켐,KOSDAQ,553957274000,24700.0,11.0,0.0,12.0,0.0,10.0,33.0,23550.0,4.65587044534413,68.90756302521008,34.366929454729345,-,28715.0,29039.0,6,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
77,036810,에프에스티,KOSDAQ,672962066200,30650.0,19.0,5.0,0.0,0.0,9.0,33.0,28700.0,6.36215334420881,28.571428571428573,33.42894240346311,-,31333.35,30390.44,2,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
78,145020,휴젤,KOSDAQ GLOBAL,2977575986000,242000.0,13.0,5.0,8.0,0.0,7.0,33.0,219000.0,9.50413223140496,26.89075630252101,18.142756679195337,-,233050.0,228740.0,0,False,5.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
79,060280,큐렉소,KOSDAQ,566220062200,13780.0,20.0,0.0,8.0,0.0,5.0,33.0,12170.0,11.683599419448477,63.02521008403362,15.322838028414436,-,13080.0,12340.4,1,False,0.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
80,195870,해성디에스,KOSPI,924800000000,54400.0,22.0,5.0,0.0,0.0,5.0,32.0,46350.0,14.79779411764706,0.0,20.775453510732,-,53365.0,52929.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
81,100090,SK오션플랜트,KOSPI,1258934299350,20150.0,17.0,5.0,0.0,0.0,10.0,32.0,19300.0,4.218362282878412,20.168067226890756,32.33801304711343,-,20254.0,19588.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
82,010060,OCI홀딩스,KOSPI,2122805378400,113700.0,22.0,5.0,0.0,0.0,5.0,32.0,100300.0,11.785400175901495,15.966386554621849,20.81769481339212,-,111110.0,108350.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
83,457190,이수스페셜티케미컬,KOSPI,1818538456000,60200.0,23.0,0.0,0.0,0.0,9.0,32.0,56500.0,6.146179401993355,57.983193277310924,25.418435806202268,-,58475.0,56275.0,2,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
84,064350,현대로템,KOSPI,23465592995000,215000.0,25.0,0.0,0.0,0.0,7.0,32.0,195000.0,9.30232558139535,83.19327731092437,49.99304986756366,-,199290.0,192128.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
85,002380,KCC,KOSPI,3901160769000,439000.0,22.0,5.0,0.0,0.0,5.0,32.0,388000.0,11.617312072892938,0.0,42.22869018236956,-,415775.0,418330.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
86,278470,에이피알,KOSPI,9002072527500,240500.0,21.0,5.0,0.0,0.0,5.0,31.0,210000.0,12.681912681912683,11.764705882352942,32.62786120331992,-,232775.0,238180.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
87,084370,유진테크,KOSDAQ,1879115444000,82000.0,16.0,5.0,0.0,0.0,10.0,31.0,80700.0,1.5853658536585367,12.605042016806722,35.19836831005983,-,80565.0,82864.0,1,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
88,089030,테크윙,KOSDAQ,1832302745250,49450.0,22.0,0.0,0.0,0.0,9.0,31.0,46350.0,6.268958543983821,44.53781512605042,43.363635677165476,-,47027.5,48859.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
89,000810,삼성화재,KOSPI,22384426907500,486500.0,12.0,0.0,8.0,0.0,10.0,30.0,466000.0,4.213771839671121,64.70588235294117,41.65526426801524,-,487125.0,491270.0,0,False,0.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
90,036570,엔씨소프트,KOSPI,5095161203000,236500.0,25.0,0.0,0.0,0.0,5.0,30.0,210000.0,11.20507399577167,78.99159663865547,55.76021690058783,-,215635.0,212774.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
91,011070,LG이노텍,KOSPI,6768792602000,286000.0,25.0,0.0,0.0,0.0,5.0,30.0,253000.0,11.538461538461538,48.739495798319325,44.59550920709237,-,275925.0,264550.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:37,1
